ID	e4	e6	e10	e14	eN	mN	latN	adult
CD00001	116	7	0	1	0	0	0	0
CD00002	380	19	0	15	0	0	0	1
CD00003	5	2	9	9	12	23	19	1
CD00005	2	2	2	2	12	16	7	2
CD00006	20	0	0	11	27	27	25	0
CD00008	30	70	54	23	0	0	0	172
CD00009	4306	4239	3048	2877	4609	2721	2920	12826
CD00010	739	1517	593	509	77	58	169	352
CD00011	395	533	761	567	1158	1304	1284	243
CD00012	1	1	0	12	584	671	83	0
CD00013	235	262	232	245	293	602	412	216
CD00014	127	4	2	17	53	186	102	12
CD00015	1431	1720	1271	1161	924	854	837	1337
CD00016	9	3	0	13	518	1269	389	1
CD00017	1799	79	68	129	92	221	329	395
CD00018	22	3	1	8	6	8	16	331
CD00019	0	7	3	1	0	0	0	16
CD00020	2463	4409	3426	2892	2269	1580	2164	10668
CD00021	0	1	0	16	1203	1813	419	0
CD00022	1591	94	122	297	231	609	556	190
CD00023	101	136	106	73	24	8	14	27
CD00024	35	79	27	845	675	640	410	536
CD00025	10	68	0	52	71	78	14	104
CD00026	17	48	4	23	95	89	104	383
CD00027	2	3	1	221	210	252	2	9
CD00028	736	1098	797	514	320	345	299	164
CD00029	423	293	550	441	732	796	1180	949
CD00031	832	565	864	951	981	629	827	1416
CD00032	1522	2220	1354	1082	741	745	857	1090
CD00033	2112	1916	1729	838	601	423	503	1391
CD00034	1961	1070	786	1676	2251	1300	2271	5531
CD00035	96774	12310	52	45	0	4	2	3
CD00036	5	9	33	13	6	4	5	13
CD00038	377	293	424	177	237	256	308	377
CD00041	12	26	67	14	50	35	51	20
CD00044	697	867	1335	981	708	590	630	1685
CD00046	16	7	0	7	0	0	0	6
CD00047	1283	1169	1253	1161	462	311	424	2252
CD00049	546	351	264	429	302	501	563	619
CD00050	656	726	403	474	646	881	871	852
CD00051	571	480	449	318	210	182	220	316
CD00052	224	160	239	117	80	74	81	104
CD00053	2025	5582	2734	1789	2942	1910	1766	2056
CD00054	3829	2783	131	3	0	0	0	3
CD00055	2320	571	406	424	370	1025	429	1706
CD00056	306	365	263	285	601	761	825	718
CD00058	139	87	623	581	379	299	236	645
CD00059	331	34	85	269	89	31	49	754
CD00060	0	0	10	8	3	8	2	3
CD00062	84	377	15	31	92	85	90	167
CD00063	844	820	521	389	409	454	491	373
CD00064	84	160	233	116	44	23	32	140
CD00065	33	21	207	384	110	58	83	487
CD00066	30	13	239	510	68	35	28	295
CD00067	347	179	288	399	809	823	1126	912
CD00068	32	7	307	564	533	1164	802	1340
CD00069	796	1530	666	488	764	1083	1119	753
CD00070	464	166	40	50	53	50	46	72
CD00071	2628	2165	3027	1915	1283	687	1006	1637
CD00072	8	2	2	4	222	598	7	1
CD00073	4	7	15	394	219	342	556	9
CD00074	131	201	354	475	225	101	86	594
CD00075	842	1308	1417	643	625	493	545	242
CD00076	2603	1682	1004	935	1478	1331	1428	2642
CD00077	7	3	8	141	148	163	167	13
CD00078	2888	7693	1680	1520	927	869	1335	2257
CD00079	989	1480	2972	3071	2820	2139	1923	6405
CD00080	40	30	64	48	36	47	49	52
CD00081	6	51	174	95	30	23	19	42
CD00083	242	586	57	1695	3780	31	44	1689
CD00084	48	5	882	403	216	128	121	306
CD00085	202	487	165	145	237	349	292	214
CD00086	60	8	557	831	270	175	197	486
CD00087	522	611	273	427	477	737	783	379
CD00088	3	1	9	71	6	4	2	10
CD00089	96	9	1832	1890	892	252	528	5989
CD00090	794	954	578	468	604	559	681	642
CD00091	172	243	1383	1472	1487	1479	1057	1440
CD00092	420	492	273	191	273	462	424	257
CD00093	1008	1424	1588	1160	939	660	911	1331
CD00094	413	599	964	618	584	458	424	591
CD00095	2	23	3	1	0	0	0	9
CD00096	3	9	5	192	0	0	2	13
CD00097	172	131	110	116	219	345	253	85
CD00098	1387	2316	727	909	969	691	1029	1113
CD00099	3	76	10	4	0	0	0	0
CD00100	625	595	483	382	889	1133	1193	251
CD00101	47	12	77	670	678	947	945	88
CD00102	1614	2231	2474	1236	1046	749	832	874
CD00103	425	380	219	439	213	287	375	306
CD00104	12	24	32	34	68	113	199	319
CD00105	94	32	1784	390	0	0	0	4
CD00106	530	397	392	281	302	342	324	182
CD00107	5	1	0	1	0	4	0	2
CD00108	129	125	63	85	121	221	90	184
CD00109	295	460	543	356	752	800	739	388
CD00110	417	595	349	259	364	567	452	354
CD00111	1	3	7	96	6	19	7	0
CD00112	2073	5678	2692	3179	32622	62632	35722	3993
CD00113	710	1090	614	725	353	221	431	879
CD00114	454	231	276	229	323	272	290	194
CD00115	150	148	137	121	252	516	301	138
CD00116	2726	4071	3230	2553	1970	1704	1863	2432
CD00117	1537	2090	1557	1313	1016	687	1015	2814
CD00118	170	264	522	360	231	264	324	713
CD00119	204	233	680	286	344	311	331	330
CD00120	139	123	98	151	219	466	248	128
CD00121	1230	1585	904	1255	1318	1855	1984	1354
CD00122	11	7	13	10	12	16	16	18
CD00123	1	0	2	7	41	175	100	1
CD00124	359	260	326	274	465	567	600	411
CD00125	1696	2698	5087	2420	643	283	308	1795
CD00126	1454	930	63	355	299	202	352	826
CD00127	167	478	2535	1383	1185	753	1073	2186
CD00128	22	16	317	196	228	194	118	55
CD00129	43	73	54	24	9	8	2	102
CD00130	157	202	282	357	302	291	517	1273
CD00131	213	562	201	1082	5611	1793	4215	1544
CD00132	3021	4924	2778	2052	2305	2119	2148	1483
CD00133	8	0	3	2	0	0	0	1
CD00134	3782	4386	2052	872	489	330	521	1531
CD00135	897	988	1578	693	723	633	663	656
CD00137	594	1117	1060	887	726	547	742	1148
CD00138	1227	1200	1413	751	465	377	554	1401
CD00139	855	2638	1835	2354	2509	3684	5349	7400
CD00140	1117	1153	693	874	1055	819	1335	1147
CD00141	855	1743	998	580	607	540	709	1431
CD00142	773	924	938	680	1286	1289	883	552
CD00143	1	2	3	44	261	408	216	101
CD00144	189	259	273	216	3	0	2	795
CD00145	8	32	2	99	504	221	72	16
CD00146	12	28	2	121	219	97	1091	1
CD00147	70	64	172	201	175	167	151	105
CD00148	27	95	12	3	0	0	0	0
CD00149	38	3	5	131	4064	20840	11904	847
CD00150	7	1	1	3140	4378	2558	6275	2
CD00151	16	49	10	22	0	0	2	51
CD00152	13	65	5	9	44	1238	81	11
CD00153	1465	10270	1864	720	0	0	0	0
CD00154	0	6	0	20	6	35	0	0
CD00155	2371	3597	859	1147	1801	1820	1483	2844
CD00156	2	0	0	1	0	0	0	9
CD00157	11	5	14	9	421	644	575	480
CD00158	209	384	517	704	557	501	362	205
CD00161	58	32	67	47	6	12	9	989
CD00162	226	12	0	9	0	0	0	0
CD00163	0	0	8	8	33	85	16	0
CD00164	9	17	8	5	0	0	0	23
CD00165	173	377	217	193	258	330	461	473
CD00166	667	857	880	776	1025	788	1346	1292
CD00167	558	1089	112	80	6	4	2	15
CD00168	319	441	372	317	415	369	487	352
CD00169	54	47	46	17	290	520	1226	436
CD00170	0	0	1	0	9	4	0	6
CD00171	1402	2106	1236	966	1609	1083	1731	1728
CD00172	78	55	132	1252	5703	1638	1963	1110
CD00173	3	25	6	17	39	58	76	37
CD00174	17	10	7	210	1380	1091	206	212
CD00175	120	205	204	758	2438	3431	3274	309
CD00177	3	5	0	111	21	82	21	0
CD00178	1371	8612	1645	1021	0	0	0	0
CD00179	167	30	20	91	21	35	51	102
CD00180	6	45	5	340	779	311	14	0
CD00181	276	71	18	403	4944	7907	4672	1257
CD00182	9	1	6	61	9	4	7	36
CD00184	51	35	47	213	68	47	74	152
CD00185	1	3	7	3	3	0	2	3
CD00186	3	1	9	10	0	0	0	30
CD00188	210	287	111	130	136	268	134	88
CD00189	20	11	7	17	36	43	37	13
CD00191	105	14	36	125	157	489	436	472
CD00192	10	7	35	78	24	47	32	19
CD00193	133	25	71	133	39	35	32	191
CD00194	619	195	80	47	290	373	283	73
CD00196	782	530	787	510	755	722	765	628
CD00197	630	430	1285	752	474	303	438	453
CD00198	624	708	912	460	963	1005	1057	316
CD00199	11	2	183	673	471	279	804	748
CD00200	53	30	27	30	27	31	25	11
CD00201	309	127	153	118	118	78	88	157
CD00202	9	2	7	5	50	0	0	3
CD00203	70	7	312	1605	1425	819	1634	1281
CD00204	3	5	5	3	0	0	0	1
CD00205	394	160	157	192	213	206	202	468
CD00206	120	87	259	114	21	27	30	101
CD00207	11	2	4	3	0	0	0	1
CD00208	75	0	1	62	6	8	9	8
CD00209	0	0	0	11	219	497	176	1
CD00210	5	2	13	9	9	4	9	6
CD00211	361	273	258	225	344	427	512	439
CD00212	581	449	384	362	444	590	436	142
CD00213	5933	8609	11826	3530	3552	1642	2535	6031
CD00214	2043	2806	4903	2101	1632	1075	1770	2831
CD00215	330	582	387	322	382	380	426	241
CD00216	453	593	185	1038	2299	2247	1747	1100
CD00217	393	257	297	225	293	260	250	198
CD00218	23	129	14	7847	56	97	74	0
CD00219	0	0	5	9	0	0	0	0
CD00220	3	11	61	33	12	8	7	8
CD00222	2304	4578	2848	2165	818	609	674	2493
CD00223	242	845	287	405	592	866	976	619
CD00224	3	11	3	8	12	8	7	8
CD00225	212	222	423	350	246	198	202	130
CD00226	79	90	77	85	86	116	104	81
CD00227	3	4	0	4	36	74	44	3
CD00228	45	3	17	91	3	4	2	12
CD00229	140	154	102	97	320	311	366	757
CD00230	183	118	123	136	68	39	25	45
CD00231	2	4	2	8	15	12	2	4
CD00234	97	56	11	25	59	82	67	169
CD00235	10	12	8	8	15	0	0	4
CD00236	605	582	368	296	255	221	271	403
CD00238	15	52	206	45	3	4	2	126
CD00239	1	2	1	8	39	27	23	6
CD00240	560	905	550	631	794	1110	1010	590
CD00241	985	544	1351	742	148	89	125	573
CD00242	334	355	401	225	299	520	324	160
CD00243	1172	1681	820	656	581	621	711	946
CD00244	200	0	0	4	107	85	67	3
CD00245	516	1082	427	235	204	206	192	406
CD00246	920	775	1073	775	1262	1157	841	632
CD00248	18248	21526	10238	7468	4876	4561	8551	4486
CD00249	574	444	438	563	664	679	990	1803
CD00250	1545	1955	799	674	927	893	1622	586
CD00251	78	28	92	44	18	8	12	37
CD00252	15	11	13	38	222	206	266	882
CD00253	18	15	1019	689	939	415	452	1174
CD00254	7648	9236	6601	3601	1232	1017	1291	10347
CD00255	20	4	83	563	107	217	72	107
CD00256	4	1	1	12	3	0	2	7
CD00257	954	1362	466	516	655	505	623	319
CD00258	3	2	32	32	15	12	83	86
CD00259	2871	1600	1326	867	427	217	371	877
CD00260	290	2	1	82	113	113	44	6
CD00262	22	18	328	369	71	35	53	364
CD00263	707	1161	1352	723	1455	1378	1555	567
CD00265	147	120	156	139	181	322	229	107
CD00266	37	42	43	60	0	4	0	27
CD00267	569	979	6499	5244	1271	474	1015	12563
CD00268	1	0	4	42	770	920	1601	3744
CD00269	2358	2658	1799	1292	1333	1425	1724	3171
CD00271	13	0	0	0	0	0	0	0
CD00273	991	948	2953	1468	314	190	211	3093
CD00274	510	299	471	377	527	439	667	443
CD00275	1154	721	652	734	998	1743	1112	663
CD00276	247	0	6	15	172	869	213	19
CD00277	27	3	374	221	9	4	5	86
CD00278	1	3	8	43	3	4	0	6
CD00279	300	301	340	486	726	904	651	378
CD00280	981	1961	721	216	12	8	5	300
CD00281	268	85	2251	1730	101	66	42	2082
CD00282	15	5	202	309	56	489	39	29
CD00283	673	748	18	22	33	50	35	58
CD00284	6	16	111	162	47	23	37	179
CD00285	2871	3046	2131	1355	1351	1114	1511	8151
CD00286	388	477	425	305	607	749	561	163
CD00287	65	124	36	11	39	35	30	11
CD00288	5806	10074	9740	4608	2266	1452	1627	4092
CD00289	1048	52	1243	2106	1452	1320	1650	4089
CD00290	2763	4400	2268	1563	2995	3128	3323	496
CD00291	23	26	40	87	44	39	32	36
CD00292	752	195	313	139	24	27	12	26
CD00293	14	2	6	179	151	31	16	101
CD00294	55	59	73	53	50	113	56	73
CD00295	1350	477	799	1040	1532	1805	2035	1797
CD00296	53	24	18	103	41	35	25	95
CD00297	52	3	10	89	68	23	56	350
CD00298	309	466	575	273	249	194	248	230
CD00299	186	22	333	686	326	260	167	400
CD00300	924	691	837	623	794	613	772	540
CD00301	8	5	3	1	0	0	0	1
CD00302	80	71	72	67	110	213	132	114
CD00303	619	559	607	481	512	547	558	444
CD00304	632	641	542	434	441	404	501	350
CD00306	613	760	1552	888	468	318	345	1106
CD00307	247	280	317	250	305	640	364	190
CD00308	19	30	406	452	403	221	276	619
CD00309	2234	3308	2937	1624	1232	815	1332	3414
CD00310	2138	2323	1129	922	1034	1040	1446	1440
CD00311	1040	1294	1413	847	755	648	744	1075
CD00312	844	682	1021	483	770	753	651	630
CD00313	595	992	1127	305	62	39	49	679
CD00314	2	1	14	22	9	12	7	6
CD00315	1690	1884	1680	1149	1318	951	1652	1427
CD00316	576	150	157	1621	2465	1692	709	1631
CD00317	730	895	735	731	998	1250	1469	901
CD00318	193	208	189	171	273	353	345	131
CD00319	1795	3579	476	854	1262	477	950	1674
CD00320	143	157	220	161	255	485	355	169
CD00321	3	7	7	345	1040	1487	477	15
CD00322	64	5	12	17	6	0	2	6
CD00323	7016	10055	10963	13782	1878	1560	1773	9569
CD00324	542	313	442	307	39	23	30	651
CD00325	787	775	704	1618	726	613	987	2501
CD00326	107	35	9	5	0	0	0	1
CD00327	4795	5360	2385	1229	1849	1638	6120	9415
CD00328	9	5	358	140	33	16	12	11
CD00329	779	901	146	76	110	89	86	78
CD00330	1068	1043	633	597	646	710	1047	1326
CD00331	638	475	2827	2413	2548	1452	2169	4663
CD00332	477	433	320	412	720	974	860	671
CD00333	4082	2654	1908	1263	1256	1040	1212	1009
CD00334	1995	1356	937	2208	604	1005	1738	2906
CD00335	1180	2493	1058	963	815	699	985	1247
CD00336	323	495	707	321	190	144	287	382
CD00337	438	423	1107	518	714	609	651	568
CD00338	1647	1346	663	610	960	757	1001	1122
